timestamp,duration_ms,buffer_bytes,transcription_length,latency_ms,error
2025-04-16T15:12:25.220Z,1000,16000,0,0,"ENOENT: no such file or directory, copyfile '/Users/fvieiramachado/Twilio/Customers/Meli/media-streams/node/realtime-transcriptions/buffers/openai-audio-buffer-1744816345218-c2e5993a-0dfa-470f-bfc0-3454a32769b7.wav' -> '/Users/fvieiramachado/Twilio/Customers/Meli/media-streams/node/realtime-transcriptions/buffers/openai-audio-buffer-1744816345218-c2e5993a-0dfa-470f-bfc0-3454a32769b7.sent.wav'"
2025-04-16T15:12:27.219Z,1000,16160,0,0,"ENOENT: no such file or directory, copyfile '/Users/fvieiramachado/Twilio/Customers/Meli/media-streams/node/realtime-transcriptions/buffers/openai-audio-buffer-1744816347219-11739ee0-1a50-40a8-9620-97703b2a02be.wav' -> '/Users/fvieiramachado/Twilio/Customers/Meli/media-streams/node/realtime-transcriptions/buffers/openai-audio-buffer-1744816347219-11739ee0-1a50-40a8-9620-97703b2a02be.sent.wav'"
2025-04-16T15:12:29.223Z,1000,16000,0,0,"ENOENT: no such file or directory, copyfile '/Users/fvieiramachado/Twilio/Customers/Meli/media-streams/node/realtime-transcriptions/buffers/openai-audio-buffer-1744816349222-39667175-78a7-4500-b9bc-b3e539e45ca3.wav' -> '/Users/fvieiramachado/Twilio/Customers/Meli/media-streams/node/realtime-transcriptions/buffers/openai-audio-buffer-1744816349222-39667175-78a7-4500-b9bc-b3e539e45ca3.sent.wav'"
2025-04-16T15:12:31.224Z,1000,16000,0,0,"ENOENT: no such file or directory, copyfile '/Users/fvieiramachado/Twilio/Customers/Meli/media-streams/node/realtime-transcriptions/buffers/openai-audio-buffer-1744816351223-e69f73d8-01a1-4fa3-b8d1-cb1f2ffecd73.wav' -> '/Users/fvieiramachado/Twilio/Customers/Meli/media-streams/node/realtime-transcriptions/buffers/openai-audio-buffer-1744816351223-e69f73d8-01a1-4fa3-b8d1-cb1f2ffecd73.sent.wav'"
2025-04-16T15:12:33.226Z,1000,16000,0,0,"ENOENT: no such file or directory, copyfile '/Users/fvieiramachado/Twilio/Customers/Meli/media-streams/node/realtime-transcriptions/buffers/openai-audio-buffer-1744816353224-f735eb42-932e-4148-b77a-16f120a6aed6.wav' -> '/Users/fvieiramachado/Twilio/Customers/Meli/media-streams/node/realtime-transcriptions/buffers/openai-audio-buffer-1744816353224-f735eb42-932e-4148-b77a-16f120a6aed6.sent.wav'"
2025-04-16T15:12:36.228Z,1000,24000,0,0,"ENOENT: no such file or directory, copyfile '/Users/fvieiramachado/Twilio/Customers/Meli/media-streams/node/realtime-transcriptions/buffers/openai-audio-buffer-1744816356227-c9a77607-4399-4d30-b309-868770e08f54.wav' -> '/Users/fvieiramachado/Twilio/Customers/Meli/media-streams/node/realtime-transcriptions/buffers/openai-audio-buffer-1744816356227-c9a77607-4399-4d30-b309-868770e08f54.sent.wav'"
2025-04-16T15:13:13.440Z,1000,25760,0,0,"ENOENT: no such file or directory, copyfile '/Users/fvieiramachado/Twilio/Customers/Meli/media-streams/node/realtime-transcriptions/buffers/openai-audio-buffer-1744816393439-7b51cddc-b083-482f-9fc6-79f69e16e84c.wav' -> '/Users/fvieiramachado/Twilio/Customers/Meli/media-streams/node/realtime-transcriptions/buffers/openai-audio-buffer-1744816393439-7b51cddc-b083-482f-9fc6-79f69e16e84c.sent.wav'"
2025-04-16T15:13:15.442Z,1000,16000,0,0,"ENOENT: no such file or directory, copyfile '/Users/fvieiramachado/Twilio/Customers/Meli/media-streams/node/realtime-transcriptions/buffers/openai-audio-buffer-1744816395441-cd55f41d-6abc-42d0-a7c3-5eec84760d28.wav' -> '/Users/fvieiramachado/Twilio/Customers/Meli/media-streams/node/realtime-transcriptions/buffers/openai-audio-buffer-1744816395441-cd55f41d-6abc-42d0-a7c3-5eec84760d28.sent.wav'"
2025-04-16T15:13:15.641Z,1000,17760,0,3194,
2025-04-16T15:13:18.447Z,1000,22400,0,0,"ENOENT: no such file or directory, copyfile '/Users/fvieiramachado/Twilio/Customers/Meli/media-streams/node/realtime-transcriptions/buffers/openai-audio-buffer-1744816398445-1e148c7f-319f-4bd9-bc2b-ea6eeffd5394.wav' -> '/Users/fvieiramachado/Twilio/Customers/Meli/media-streams/node/realtime-transcriptions/buffers/openai-audio-buffer-1744816398445-1e148c7f-319f-4bd9-bc2b-ea6eeffd5394.sent.wav'"
